Workbook_Study,Clean_Workbook_Study,Author_Year_Key,Workbook_Conditions,Workbook_Sheets,Proposed_Review_Group,Priority,Extractability,Review_Queue_Status,Dedup_And_Scope_Note,Triage_Rationale,Data_Summary,Outcome_Summary,Region_Summary,Suggested_Next_Action
"Kamil, Jacob, Ratnanather, Resnick, & Agrawal, 2018","Kamil, Jacob, Ratnanather, Resnick, & Agrawal, 2018",kamil|2018,"Age-related Saccular, Utricular, and Horizontal Semicircular Canal Loss",MRI_GM,Healthy aging,medium,maybe_extractable_with_manual_review,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest potential ROI-level findings, but the paper must be checked for convertible statistics.",103 healthy adults aged 60+ y.o.,MRICloud ROI volume of hippocampus (3T T1w MRI),Hippocampus (bilateral),Open the paper to verify whether the reported findings include ROI-wise statistics rather than only narrative or connectivity summaries.
"Kim et al., 2017","Kim et al., 2017",kim|2017,Brainstem / cerebellar stroke,DTI,Stroke or ischemic vestibular-circuit lesions,medium,maybe_extractable_with_manual_review,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest potential ROI-level findings, but the paper must be checked for convertible statistics.",Case series with MRI or DWI showing brainstem/cerebellar strokes that produce isolated vestibular syndromes,Lesion localization for isolated vertigo,"Brainstem (vestibular nuclei, dorsolateral medulla), cerebellum (inferior cerebellar peduncle, middle cerebellar peduncle, flocculus)",Open the paper to verify whether the reported findings include ROI-wise statistics rather than only narrative or connectivity summaries.
"Kirsch et al., 2018","Kirsch et al., 2018",kirsch|2018,Healthy adults,fMRI,Healthy non-clinical cohorts,medium,maybe_extractable_with_manual_review,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest potential ROI-level findings, but the paper must be checked for convertible statistics.","30 healthy right‐handed, 30 healthy left‐handed volunteers; 3T fMRI connectivity",Connectivity patterns in bilateral vestibular network,"The parieto‐insular network, especially OP2 in the parietal operculum. White‐matter U‐fibers bridging the posterior insula with the superior temporal gyrus and supplementary motor area.",Open the paper to verify whether the reported findings include ROI-wise statistics rather than only narrative or connectivity summaries.
"Noohi et al., 2020","Noohi et al., 2020",noohi|2020,Healthy younger vs. older adults,fMRI,Healthy aging,medium,maybe_extractable_with_manual_review,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest potential ROI-level findings, but the paper must be checked for convertible statistics.","17 young, 15 older","Structural (FA) & functional connectivity (3T DTI); resting‐state fMRI; balance performance tests (e.g., SOT)","Parieto‐insular vestibular cortex (PIVC) fiber connections, thalamic WM tracts, and temporo‐parietal association fibers.",Open the paper to verify whether the reported findings include ROI-wise statistics rather than only narrative or connectivity summaries.
"Padova et al., 20211","Padova et al., 2021",padova|2021,"Age-related Saccular, Utricular, and Horizontal Semicircular Canal Loss",MRI_GM,Healthy aging,medium,maybe_extractable_with_manual_review,ready_for_manual_review,Workbook study label normalized for year or punctuation noise.,"Workbook notes suggest potential ROI-level findings, but the paper must be checked for convertible statistics.",97 healthy adults aged 60+ y.o.,MUSE ROI Volume (3T T1w MRI),"Thalamus (bilateral), lenticular nucleus (bilateral), globus pallidus (bilateral), caudate nucleus (bilateral), putamen (bilateral); Hippocampus (left)",Open the paper to verify whether the reported findings include ROI-wise statistics rather than only narrative or connectivity summaries.
"Raiser et al., 2020","Raiser et al., 2020",raiser|2020,Healthy young adults,DTI,Healthy non-clinical cohorts,medium,maybe_extractable_with_manual_review,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest potential ROI-level findings, but the paper must be checked for convertible statistics.","29 healthy young adults (all right-handed; mean age ); 3T DTI (SPM12, MRtrix3, FSL); 3T rs-fMRI (CONN18b, BCT)",Anatomically constrained structural (and functional) connectivity in 10 cortical vestibular regions,"postcentral gyrus (bilateral, area 2v, area 3av), premotor area, supplementary motor area (bilateral), cingulate sulcus visual (bilateral, CSv), ventral intraparietal area (bilateral), OP2 (bilateral), area 7 (bilateral), visual posterior sylvian area (bilteral), superior temporal area (bilateral, hMST)",Open the paper to verify whether the reported findings include ROI-wise statistics rather than only narrative or connectivity summaries.
"Shen et al., 2023","Shen et al., 2023",shen|2023,Vestibular migraine (VM),DTI,Vestibular migraine,medium,maybe_extractable_with_manual_review,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest potential ROI-level findings, but the paper must be checked for convertible statistics.",MRI assessment of brain white matter lesions (WML) in VM patients (cross-sectional study),Presence of WML on MRI; migraine/vertigo history,Brain white matter lesions (various locations on MRI),Open the paper to verify whether the reported findings include ROI-wise statistics rather than only narrative or connectivity summaries.
"Smith et al., 2021","Smith et al., 2021",smith|2021,Post‐concussive vestibular dysfunction,DTI; fMRI,Post-traumatic or concussive vestibulopathy,medium,maybe_extractable_with_manual_review,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest potential ROI-level findings, but the paper must be checked for convertible statistics.","18 patients with PCVD and vestibular symptoms, 27 controls; 3T DTI (FSL6), 3T rsfMRI; Post-Concussion Symptom Scale, Statndardized Assessment of Concussion, Balance Error Scoring System, Vestibular Ocular Motor Screening, and Sensory Organization Test, and tests of affective function",Functional and structural connectivity,N/A,Open the paper to verify whether the reported findings include ROI-wise statistics rather than only narrative or connectivity summaries.
"Wirth et al., 2018","Wirth et al., 2018",wirth|2018,Healthy adults,DTI,Healthy non-clinical cohorts,medium,maybe_extractable_with_manual_review,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest potential ROI-level findings, but the paper must be checked for convertible statistics.",15 participants; 3T MRI/DTI + ROI‐based tractography of visual and vestibular cortices,Connectivity between insular vestibular cortex (PIVC) and posterior parietal-insular cortex (PIC),"MT/V5 (bilateral), parietal operculum (bilateral, area OP2, area OP3), insula (bilateral, anterior, posterior), inferior frontal gyrus (bilateral, pars triangularis, pars opercularis), central sulcus (bilateral, inferior), precentral gyrus (bilateral, inferior), postcentral gyrus (bilateral, inferior), supramarginal gyrus (bilateral), posterior insular cortex (bilateral), superior temporal sulcus (bilateral), superior temporal gyrus (bilateral), intraparietal sulcus (bilateral), precuneus (right), cingulate cortex (right, posterior, anterior caudal), corpus callosum (right, posterior), paracentral cortex (right), inferior frontal sulcus (bilateral), superior frontal sulcus (bilateral), middle frontal cortex (left, caudal), basal ganglia (bilateral, putamen, pallidum, caudate nucleus), thalamus (bilateral, ventral posterior lateral nucleus, ventral anterior nucleus, lateral posterior nucleus, ventral lateral nucleus, lateral pulvinar, ventral posterior medial nucleus), inferior parietal lobule (bilateral, area PFcm, area PF), Heschl's gyrus (bilateral)",Open the paper to verify whether the reported findings include ROI-wise statistics rather than only narrative or connectivity summaries.
"Yeo et al., 2024","Yeo et al., 2024",yeo|2024,Healthy young vs. healthy older adults,DTI,Healthy aging,medium,maybe_extractable_with_manual_review,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest potential ROI-level findings, but the paper must be checked for convertible statistics.","12 healthy young adults, 11 healthy older adults; 1.5T DTI (FMRIB FSL); subjective visual vertical (SVV), the Berg balance scale (BBS)","Tractography, SVV and BBS tests","Brainstem (vestibular nuclei, pons), cerebellum (dentate nucleus, medial longitudinal fasciculus), thalamus (ventralis intermedius nucleus), parieto-insular vestibular cortex, and primary somatosensory cortex (area S1)",Open the paper to verify whether the reported findings include ROI-wise statistics rather than only narrative or connectivity summaries.
"Ruehl et al., 2022","Ruehl et al., 2022",ruehl|2022,Healthy young adults,fMRI,Healthy non-clinical cohorts,low,unlikely_extractable_for_current_table,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,Workbook notes do not yet suggest a reliable ROI-wise effect-size extraction path.,"131 healthy young adults (70 female, 61 male, mean age 26.4 years); 3T T2* fMRI, 3T T1w MRI; egomotion compatible/incompatible; GVS sessions (eyes open, eyes open in darkness, eyes closed).",,,Defer unless the meta-analysis broadens beyond the current ROI and effect-size schema.
"Conrad et al., 20221","Conrad et al., 2022",conrad|2022,Infarcts of the subcortical vestibular circuitry,MRI_GM,Stroke or ischemic vestibular-circuit lesions,high,likely_extractable_roi_effects,hold_author_year_collision,Workbook study label normalized for year or punctuation noise. Another missing-study row shares this author-year signature; resolve same-year paper versus duplicate before extraction.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.","42 patients with a unilateral, sub-cortical infarct with vestibular and ocular motor deficits in the acute phase (mean time to follow-up = 7. 8± 2.3 mon)",VBM/SBM; cortical thickness; CAT12/SPM12 (3T T1w MRI),"Cerebellum (bilateral, dentate nucleus, crus I, crus II, lobule VI, lobule VIIB, lobule VIIIa, lobule IX, lobule X), cerebellum (ocular motor vermis, lobules V–VII, VI, VII, VIIIab), cerebellum (motor, lobules V, VII), cerebellum (fastigial nucleus), visual cortex (bilateral, area MT+, dorsal visual stream, ventral visual stream, primary, higher order), parietal cortex (bilateral, inferior parietal lobule, lateral intraparietal area, ventral intraparietal area, areas 7AL, 7PC), thalamus (medial nucleus, mediodorsal nucleus, pulvinar nucleus), frontal eye fields, area 6d, postcentral gyrus (right, areas 1, 2, 3b), precentral gyrus (right, areas 1, 3b), putamen, parieto-insular vestibular cortex (parieto-opercular, retro-insular vestibular cortex), splenium of the corpus callosum","Resolve the author-year collision first, then decide which record belongs in the manual review queue."
"Fettrow et al., 2023","Fettrow et al., 2023",fettrow|2023,Healthy younger & older adults; Healthy younger vs. older adults,DTI; MRI_GM,Healthy aging,high,likely_extractable_roi_effects,hold_scope_split,"Workbook entry mixes multiple conditions, frames, or cohort types and should be split or scoped before review.","Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.","50 participants (31 young, 19 older), 3T T1w MRI + gait adaptation tasks | 31 young, 19 older adults, 3T DTI (FMRIB FSL6), treadmill gait adaptation tasks",VBM SPM12 GMV; cortical thickness; gyrification | Free-water corrected FA in WM tracts,"Superior frontal gyrus (left, pars opercularis), cerebellum (left, lobule V), cerebellum (right, lobule VIIB, lobule VIII), precentral gyrus (right), postcentral gyrus (bilateral), insula (left), superior temporal gyrus (left), transverse temporal gyrus (left), supramarginal gyrus (right) | Corticospinal tract (right), inferior longitudinal fasciculus (right)",Split the workbook entry into a single-cohort or single-frame record before manual paper review.
"Hummel et al., 2014","Hummel et al., 2014",hummel|2014,"Bilateral vestibulopathy (BVP), ""Vestibular Experts""",DTI,Needs manual scope decision,high,likely_extractable_roi_effects,hold_scope_split,"Workbook entry mixes multiple conditions, frames, or cohort types and should be split or scoped before review.","Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.","13 BVP patients pre‐/post therapy, their 13 controls, 18 balance-trained individuals and their 17 controls; 3T DTI; measured FA changes after balance rehab",VBM FSL FMRIB diffusion toolbox (3T DWI); Whole-body rotations; VOR,"Corpus callosum (bilateral, body, splenium), cingulum, anterior thalamic radiation (right), external capsule (left), internal capsule, forceps minor (bilateral), forceps major (bilateral), fornix (bilateral), inferior fronto-ocipital fasciculus (bilateral), uncinate fasciculus (left), superior longitudinal fascisulus (left), corticospinal tract (left)",Split the workbook entry into a single-cohort or single-frame record before manual paper review.
"Hupfeld et al., 2022","Hupfeld et al., 2022",hupfeld|2022,Healthy younger & older adults; Healthy younger vs. older adults; Long‐duration spaceflight (astronauts),DTI; MRI_GM; fMRI,Healthy aging,high,likely_extractable_roi_effects,hold_scope_split,"Workbook entry mixes multiple conditions, frames, or cohort types and should be split or scoped before review.","Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.","62 adults (37 young, 25 older), 3T T1w MRI, balance (posturography) | 60 adults (37 young, 23 older), 3T T1w MRI + dual‐task gait testing | 35 young, 20 older adults, 3T DTI (FMRIB FSL6), balance (posturography)",VBM/SBM SPM12 GMV; gyrification; cortical thickness | Free-water corrected FA/AD/RD in sensory‐related WM (3T DTI); standing balance tasks (force plate) | Free-water corrected FW/FA/AD/RD in WM tracts for motor & sensory function (3T DTI); dual‐task gait testing (DTcost),"Supramarginal gyrus (left), postcentral gyrus (left), superior temporal sulcus bank (left), superior frontal gyrus (left), lingual gyrus (left), lateral orbitofrontal cortex (right) | Precentral gyrus (left), superior parietal lobule (left), superior temporal gyrus (right) | Corpus callosum (bilateral, genu, body, splenium), forceps minor (left), cingulum (left), superior longitudinal fasciculus (right), superior corona radiata (right), corticospinal tract (right), posterior corona radiata (right), anterior thalamic radiation (right), inferior fronto-occipital fasciculus (right)",Split the workbook entry into a single-cohort or single-frame record before manual paper review.
"McGregor et al., 2023","McGregor et al., 2023",mcgregor|2023,Long‐duration spaceflight (astronauts); Varied duration spaceflight (astronauts),DTI; MRI_GM,Spaceflight-related vestibular adaptation,high,likely_extractable_roi_effects,hold_scope_split,"Workbook entry mixes multiple conditions, frames, or cohort types and should be split or scoped before review.","Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.",30 total; pre‐/post‐flight 3T T1w MRI | 30 astronauts (varied‐duration ISS missions); 3T DTI (FSL6) pre‐ and post‐flight,"VBM SPM12 | Free-water fractional volume, free-water corrected FA, MD, AD, RD","Third ventricle (bilateral), lateral ventricle (right) | interhemispheric fissure, lateral fissure, lateral ventricle (right)",Split the workbook entry into a single-cohort or single-frame record before manual paper review.
Hadi et al. 2022,"Hadi et al., 2022",hadi|2022,Healthy + lesion or normal variants,fMRI,Needs manual scope decision,low,unlikely_extractable_for_current_table,hold_scope_split,"Workbook study label normalized for year or punctuation noise. Workbook entry mixes multiple conditions, frames, or cohort types and should be split or scoped before review.",Condition label mixes scientific axes and should be resolved before extraction.,"26 patients with head injury, some with vestibular agnosia. 3T T1w MRI, 3T T2* fMRI (CONN, VBM SPM12). Vestibular perception and posturography.",GM/WM functional connectivity in “vestibular network”,"Parieto‐insular WM pathways, inferior and middle cerebellar peduncles, ventral posterolateral (VPL) nucleus of thalamus, and cingulo‐opercular tracts.",Split the workbook entry into a single-cohort or single-frame record before manual paper review.
"Ibitoye et al., 2023","Ibitoye et al., 2023",ibitoye|2023,Review or combined study on “OP2” region,fMRI,Needs manual scope decision,low,unlikely_extractable_for_current_table,hold_scope_split,"Workbook entry mixes multiple conditions, frames, or cohort types and should be split or scoped before review.",Review or composite framing rather than a single extractable empirical cohort.,"17 right-handed patients with chronic (> 6 months since symptom onset) right-sided vestibular neuritis, 17 right-handed healthy age-matched controls; 3T fMRI",Functoinal connectivity,"OP2 → “retroinsular cortex” WM, short association U‐fibers bridging parietal operculum and posterior insula, and multi‐modal parieto‐temporal pathways.",Split the workbook entry into a single-cohort or single-frame record before manual paper review.
"Oussoren et al., 2022","Oussoren et al., 2022",oussoren|2022,Vestibular neuritis + cerebral small vessel disease,DTI; MRI_WM,Needs split across vestibular and vascular axes,low,unlikely_extractable_for_current_table,hold_scope_split,"Workbook entry mixes multiple conditions, frames, or cohort types and should be split or scoped before review.",Condition label mixes scientific axes and should be resolved before extraction.,"101 older patients with acute vestibular neuritis, control group: 203 patients with 149 suspected cases of trigeminal neuralgia and 54 suspected cases of vestibular paroxysmia; 1.5T MRI",WMH burden,Periventricular and deep subcortical WM lesions in the frontal and parietal regions,Split the workbook entry into a single-cohort or single-frame record before manual paper review.
"Conrad et al., 2022","Conrad et al., 2022",conrad|2022,Unilateral subcortical or infratentorial ischemic stroke; Unilateral thalamic or brainstem infarction,DTI; MRI_WM; fMRI,Stroke or ischemic vestibular-circuit lesions,high,likely_extractable_roi_effects,hold_author_year_collision_and_scope_split,"Another missing-study row shares this author-year signature; resolve same-year paper versus duplicate before extraction. Workbook entry mixes multiple conditions, frames, or cohort types and should be split or scoped before review.","Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.","13 patients with unilateral thalamic stroke, scanned longitudinally; 3T MRI, 3T rsfMRI; VBM (SPM12), SBM (SPM12); tests of eye position and nystagmus, saccades, optokinetic nystagmus, smooth pursuit, vestibulo-ocular reflex (VOR), and SVV | 42 patients with unilateral subcortical or infratentorail ischemic stroke, studied longitudinally ; 3T MRI, 3T rsfMRI; VBM (SPM12), SBM (SPM12); tests of eye position and nystagmus, saccades, optokinetic nystagmus, smooth pursuit, vestibulo-ocular reflex (VOR), and SVV","GM/WM volume + cortical surface morphometry, cortical thickness","dentate nuclear region, the vestibular nuclear region (VN), the middle longitudinal fascicle (MLF), and the corticospinal tract (CST); brainstem (bilateral, III, INC, riMLF, MLF), cerebellum (bilateral, lobule X, flocculus), trigeminal toor entry zone (bilateral, V root entry zone), medial lemniscus (bilateral) (ML), superior colliculus (bilateral), parieto-opercular / (retro-) insular cortex (PIVC), premotor cortex, somatosensory cortex (bilateral), cingulate cortex (bilateral), corpus callosum (splenium, CC5, CC6, CC7) | primary somatosensory cortex (right, area 1, area 2), parieto-opercular (retro-) insular vestibular cortex (right), cerebellum (bilateral, lobule X), MT+ (bilateral)",Resolve both the author-year collision and the mixed-scope workbook entry before manual paper review.
